,Speed,SegmentSize,TotalFuel
0,5,700,0.298159744
1,5.5,700,0.30706247
2,6,700,0.317725692
3,6.5,700,0.330398772
4,7,700,0.345221551
5,7.5,700,0.362256841
6,8,700,0.381750434
7,8.5,700,0.403727352
8,9,700,0.425993635
9,9.5,700,0.453876882
10,10,700,0.492805686
11,10.5,700,0.526491614
12,11,700,0.563501345
13,11.5,700,0.60406217
14,12,700,0.648256186
15,12.5,700,0.696371014
16,13,700,0.74847981
17,13.5,700,0.804709124
18,14,700,0.865212064
19,14.5,700,0.930305565
20,15,700,1
21,15.5,700,1.074037413
22,16,700,1.153251724
23,16.5,700,1.241226492
24,17,700,1.332035546
25,17.5,700,1.428568298
26,18,700,1.525662813
27,18.5,700,1.622759483
48,5,900,0.412362586
49,5.5,900,0.419860455
50,6,900,0.428824101
51,6.5,900,0.439427107
52,7,900,0.451918462
53,7.5,900,0.466014705
54,8,900,0.482384666
55,8.5,900,0.50078786
56,9,900,0.52158265
57,9.5,900,0.544790945
58,10,900,0.570568122
59,10.5,900,0.599068821
60,11,900,0.630438393
61,11.5,900,0.664731627
62,12,900,0.702193884
63,12.5,900,0.742815007
64,13,900,0.787088168
65,13.5,900,0.834616708
66,14,900,0.885908711
67,14.5,900,0.94099703
68,15,900,1
69,15.5,900,1.06308634
70,16,900,1.130394248
71,16.5,900,1.202022136
72,17,900,1.276028801
73,17.5,900,1.356131769
74,18,900,1.434087959
75,18.5,900,1.508958987
76,19,900,1.588398432
96,5,1100,0.345528555
97,5.5,1100,0.353832881
98,6,1100,0.362333697
99,6.5,1100,0.374110305
100,7,1100,0.385016609
101,7.5,1100,0.401012768
102,8,1100,0.419277966
103,8.5,1100,0.439975117
104,9,1100,0.463293867
105,9.5,1100,0.489344208
106,10,1100,0.518275167
107,10.5,1100,0.55010431
108,11,1100,0.585418341
109,11.5,1100,0.6239375
110,12,1100,0.665917206
111,12.5,1100,0.711592469
112,13,1100,0.761056124
113,13.5,1100,0.814471621
114,14,1100,0.872002902
115,14.5,1100,0.933884876
116,15,1100,1
117,15.5,1100,1.070769635
118,16,1100,1.146266496
119,16.5,1100,1.2266
120,17,1100,1.311962563
121,17.5,1100,1.402493078
122,18,1100,1.495891975
123,18.5,1100,1.593631011
124,19,1100,1.695898704
125,19.5,1100,1.800120481
126,20,1100,1.913614728
127,20.5,1100,2.031804244
128,21,1100,2.155555556
144,5,1400,0.190188282
145,5.5,1400,0.200502956
146,6,1400,0.225621625
147,6.5,1400,0.239969728
148,7,1400,0.25673922
149,7.5,1400,0.276110769
150,8,1400,0.298802406
151,8.5,1400,0.323826354
152,9,1400,0.354492734
153,9.5,1400,0.385830701
154,10,1400,0.420624186
155,10.5,1400,0.459051417
156,11,1400,0.5013653
157,11.5,1400,0.547689305
158,12,1400,0.598197793
159,12.5,1400,0.653115502
160,13,1400,0.712636906
161,13.5,1400,0.776887146
162,14,1400,0.84606099
163,14.5,1400,0.920391093
164,15,1400,1
165,15.5,1400,1.085113975
166,16,1400,1.175912925
167,16.5,1400,1.272535507
168,17,1400,1.375204175
169,17.5,1400,1.484109378
170,18,1400,1.597633572
171,18.5,1400,1.719170438
172,19,1400,1.844943213
173,19.5,1400,1.979664778
174,20,1400,2.121541274
175,20.5,1400,2.285680996
176,21,1400,2.453800051
177,21.5,1400,2.621116975
178,22,1400,2.791439163
179,22.5,1400,2.943801027
180,23,1400,3.116720257
196,7,1700,0.312511239
197,7.5,1700,0.330393409
198,8,1700,0.350933419
199,8.5,1700,0.374096312
200,9,1700,0.401174361
201,9.5,1700,0.430210043
202,10,1700,0.462546425
203,10.5,1700,0.498160625
204,11,1700,0.537404388
205,11.5,1700,0.580394671
206,12,1700,0.62727318
207,12.5,1700,0.678210049
208,13,1700,0.733416025
209,13.5,1700,0.793004252
210,14,1700,0.857207545
211,14.5,1700,0.926144582
212,15,1700,1
213,15.5,1700,1.078953885
214,16,1700,1.163193343
215,16.5,1700,1.252838895
216,17,1700,1.34808586
217,17.5,1700,1.449126103
218,18,1700,1.556060769
219,18.5,1700,1.669126837
220,19,1700,1.787252807
221,19.5,1700,1.912905269
222,20,1700,2.045067583
223,20.5,1700,2.184106956
224,21,1700,2.325877661
225,21.5,1700,2.47370977
226,22,1700,2.616432177
244,7,2200,0.301114965
245,7.5,2200,0.319299409
246,8,2200,0.34055705
247,8.5,2200,0.364074113
248,9,2200,0.392376333
249,9.5,2200,0.421869626
250,10,2200,0.454705658
251,10.5,2200,0.490835885
252,11,2200,0.530631342
253,11.5,2200,0.574232019
254,12,2200,0.621789871
255,12.5,2200,0.673492645
256,13,2200,0.729511458
257,13.5,2200,0.789999168
258,14,2200,0.855109981
259,14.5,2200,0.925081458
260,15,2200,1
261,15.5,2200,1.080138485
262,16,2200,1.165581958
263,16.5,2200,1.256534823
264,17,2200,1.353186384
265,17.5,2200,1.45567015
266,18,2200,1.564245636
267,18.5,2200,1.678926062
268,19,2200,1.800072072
269,19.5,2200,1.92773332
270,20,2200,2.062100107
271,20.5,2200,2.203323013
272,21,2200,2.351660056
273,21.5,2200,2.501808864
274,22,2200,2.660438006
275,22.5,2200,2.832051375
276,23,2200,3.007685486
290,6,2500,0.299975782
291,6.5,2500,0.312949814
292,7,2500,0.336077735
293,7.5,2500,0.353341067
294,8,2500,0.381352288
295,8.5,2500,0.403426544
296,9,2500,0.428241403
297,9.5,2500,0.455992089
298,10,2500,0.486811908
299,10.5,2500,0.520867696
300,11,2500,0.558320216
301,11.5,2500,0.599368181
302,12,2500,0.644117199
303,12.5,2500,0.692743852
304,13,2500,0.74547273
305,13.5,2500,0.802365186
306,14,2500,0.863645236
307,14.5,2500,0.929480646
308,15,2500,1
309,15.5,2500,1.075402945
310,16,2500,1.155792228
311,16.5,2500,1.241332159
312,17,2500,1.332341342
313,17.5,2500,1.428770567
314,18,2500,1.530902831
315,18.5,2500,1.638895672
316,19,2500,1.75149062
317,19.5,2500,1.871383437
318,20,2500,1.997570458
319,20.5,2500,2.130278921
320,21,2500,2.269584858
321,21.5,2500,2.415681884
322,22,2500,2.568757015
323,22.5,2500,2.722636391
324,23,2500,2.878734246
325,23.5,2500,3.032706663
338,6,2900,0.305435488
339,6.5,2900,0.318326124
340,7,2900,0.335306804
341,7.5,2900,0.352592128
342,8,2900,0.365442724
343,8.5,2900,0.388153236
344,9,2900,0.416501955
345,9.5,2900,0.444804624
346,10,2900,0.479009132
347,10.5,2900,0.513598081
348,11,2900,0.551636084
349,11.5,2900,0.593210225
350,12,2900,0.638716346
351,12.5,2900,0.688088248
352,13,2900,0.741592046
353,13.5,2900,0.799369961
354,14,2900,0.861588232
355,14.5,2900,0.92840598
356,15,2900,1
357,15.5,2900,1.076530965
358,16,2900,1.158181045
359,16.5,2900,1.245062809
360,17,2900,1.33734562
361,17.5,2900,1.435295756
362,18,2900,1.538977402
363,18.5,2900,1.64856479
364,19,2900,1.764256802
365,19.5,2900,1.884123721
366,20,2900,2.009738291
367,20.5,2900,2.13876976
368,21,2900,2.273065385
369,21.5,2900,2.419561633
370,22,2900,2.581865958
371,22.5,2900,2.743400609
372,23,2900,2.907618882
373,23.5,2900,3.083617549
374,24,2900,3.23855156
375,24.5,2900,3.421687445
384,5,3500,0.316998749
385,5.5,3500,0.325703436
386,6,3500,0.325968205
387,6.5,3500,0.338488213
388,7,3500,0.350366727
389,7.5,3500,0.36724989
