Year,segmentSize,all legs,distance,Total SeaDistance,totalMEHours,seaMEHours,fromPortStayHours,Total Cons (tons),Sea Cons,sea cons emission,seaEmission per hr,SeaSpeed
2021,1100,1071,455799.3742,332523.3,41002.3251,26863.6001,25268.5993,36915.9071,22643.69,70794.05078,2.635315092,12.4
2021,11500,1184,1984398.6,1729648.5,120394.0193,99050.9002,36968.9684,504917.47,428454.23,1335014.554,13.47806584,17.5
2021,13500,456,804321.6,704015.9,47502.5691,39450.5499,21163.7164,233983.74,202726.36,631400.6685,16.00486356,17.8
2021,14500,640,815414.0789,706908.7,49570.3005,40990.2498,22206.0507,229567.59,196576.62,612145.0316,14.93391806,17.2
2021,1700,344,466663.8,397205.3,31013.5832,25330.35,9260.683,44908.2,36747.5,114449.4585,4.51827387,15.7
2021,17000,474,694143.4,615047.9,41330.4999,34677.3503,19560.2498,237873.09,203974.66,635204.293,18.31755562,17.7
2021,19000,1843,2958971.55,2464406.7,181822.1545,141676.2325,68403.2676,940287.32,774018.58,2410824.295,17.01643425,17.4
2021,2200,990,665368.0059,497704.1,48642.5163,34456.2498,22301.2493,71011.7967,47669.41,148543.2513,4.311068447,14.4
2021,2500,2043,1378877.595,1078483.3,99461.2639,74121.7,49876.2003,157454.33,113319.55,353149.7727,4.764458622,14.6
2021,2900,528,623498.2825,503344.6,46273.269,34773.9498,13546.4832,76933.0188,59032.6,184653.8508,5.31012013,14.5
2021,3500,2810,2927133.043,2274061.7,195022.4052,143501.8499,66308.2657,409774.089,315457.91,983246.486,6.85180356,15.8
2021,4500.1,1854,2123638.745,1802224.7,138564.0825,111607.5503,45796.0988,392651.193,318135.57,991976.0149,8.888072646,16.1
2021,4500.2,2578,2976394.423,2580006.8,196894.532,164671.9669,69767.9493,488044.93,399326.33,1243851.516,7.553511015,15.7
2021,5500,1406,1434655.447,1122768.9,90304.6918,66861.9498,38817.1502,321397.88,236628.01,737385.0814,11.02847111,16.8
2021,6500,1924,2394080.403,2084055.6,147245.2139,121328.9337,49389.3998,532330.8194,450777.46,1404679.61,11.57744956,17.2
2021,8500.1,2313,4002476.531,3573420.5,242102.0165,206903.3831,68912.4497,1012303.2,877276.33,2733081.436,13.20945745,17.3
2021,9500.1,945,1950888.524,1786927.9,114919.9326,100575.9667,27319.4829,528491.31,475944.35,1482162.43,14.73674555,17.8
2021,9500.2,229,261844.27,212536.3,16095.783,12627.6,5979.117,55417.4,43721.02,136308.6611,10.7945026,16.8
2022,1100,769,411336.7877,302875.2,37322.565,24760.7,18623.8502,30881.9217,19776.9,61627.7205,2.488932886,12.2
2022,11500,685,1131341.53,1032372.75,72133.7158,63327.016,23078.15,293017.618,257259.979,803239.5868,12.68399551,16.3
2022,13500,391,723440.65,658612.5,49777.2175,43784.5497,17162.0835,178662.788,156999.933,489171.6383,11.17224322,15
2022,14500,892,1182824.91,1088966.23,75983.113,67012.5498,32653.1682,333643.844,297495.789,926526.9194,13.82617021,16.3
2022,1700,804,803987.5642,684134.1,56718.0596,46305.9834,18511.1166,78753.3829,62788.712,195955.162,4.231746043,14.8
2022,17000,206,290076.02,275221.82,18748.3839,17181.6829,6161.2003,91172.284,83459.267,259928.391,15.12822652,16
2022,19000,1729,2733430.25,2458803.33,171561.948,147275.1004,62046.9834,849984.294,749135.155,2333799.367,15.84653047,16.7
2022,2200,1262,807375.2198,623034.4,59839.483,44124.2999,25689.3161,80390.617,55381.483,172588.3019,3.911411679,14.1
2022,2500,2347,1634426.02,1372463.99,120909.8029,96990.2658,53545.7001,188373.9044,146090.384,455408.8202,4.695407487,14.2
2022,2900,765,593406.017,467548.9,44865.8038,33522.1501,18143.3503,70956.0134,51148.869,159535.6297,4.759110892,13.9
2022,3500,2789,3071465.908,2655381.39,209327.2461,173804.9842,66846.0341,438554.8434,366749.458,1143894.62,6.58148341,15.3
2022,4500.1,1371,2024968.676,1818802.97,130785.5843,113550.4999,38662.2844,355290.791,306931.548,956546.1247,8.423971057,16
2022,4500.2,2496,3262624.657,2926298.23,221062.0241,190114.9324,64307.116,481322.265,409751.964,1276602.554,6.714898918,15.4
2022,5500,1317,1493035.19,1267001.71,94390.7327,76647.0328,33371.6166,327845.902,265615.161,827748.0143,10.79947891,16.5
2022,6500,1589,2279819.932,2090660.05,144079.5547,127069.1832,47854.8506,491494.7039,433140.929,1349692.03,10.62171013,16.5
2022,8500.1,2734,4921879.544,4578192.86,312140.4104,279652.5176,87528.6354,1197120.075,1075491.261,3351982.895,11.98624251,16.4
2022,9500.1,711,1442983.134,1316788.5,93224.9825,82092.5664,23285.2329,341592.277,303082.982,944907.8169,11.51027259,16
2022,9500.2,232,260764.05,241113.99,17128.5501,15370.5164,5437.217,56013.498,48919.241,152379.8869,9.913777971,15.7
2023,1100,319,210136.45,184739.11,18337.3168,15077.3167,10740.5835,16621.497,12467.919,38941.93782,2.5828162,12.3
2023,11500,954,1516465.91,1441257.25,101087.301,93802.9501,29189.2845,350571.596,323062.913,1008344.273,10.74960086,15.4
2023,13500,317,568377.34,557531.97,37581.5503,36402.7666,11459.3337,143067.178,137564.546,428908.8056,11.78231343,15.3
2023,14500,572,696966.99,669861,45389.3002,42462.966,20593.4346,161989.609,150236.443,467945.5809,11.02008703,15.8
2023,1700,1083,742405.27,669077.83,55373.5334,48427.1669,22471.6833,71750.962,59556.505,185783.4951,3.836348624,13.8
2023,17000,474,628756,587743.3,39889.867,35869.5828,12229.5504,200164.64,181645.625,565663.3526,15.77000089,16.4
2023,19000,1555,2355982.34,2249840.77,152456.2336,141746.6509,45997.6663,703992.319,655330.007,2041600.541,14.40316598,15.9
2023,2200,923,541364.23,435107.85,41057.4679,32135.6008,14560.4659,45094.114,33603.888,104691.8164,3.257814192,13.5
2023,2500,2106,1575234.337,1410922.14,115504.7535,100596.0322,48977.2998,183889.8652,153003.505,477384.2539,4.745557488,14
2023,2900,841,565959.87,506572.88,43044.8165,37736.8665,17164.317,62142.991,50722.97,158023.793,4.187517611,13.4
2023,3500,2248,2380810.47,2138034.74,164819.32,143143.6661,51621.4329,327834.908,283023.457,883016.0229,6.168739749,14.9
2023,4500.1,1319,1684511.37,1591427.39,116527.4325,108247.4333,27728.0315,260290.036,235139.152,733078.9334,6.77225234,14.7
2023,4500.2,2097,2794390.58,2655114.79,191779.8869,176592.0667,50653.2341,404902.272,367301.839,1144577.885,6.48147964,15
2023,5500,1032,1169170.21,1073390.33,77114.4836,69024.0169,22811.8005,243851.383,214195.076,667785.4633,9.674682716,15.6
2023,6500,1379,1903742.3,1818280.83,122706.4834,114194.8488,35395.8998,382295.712,352346.652,1097932.523,9.614553848,15.9
2023,8500.1,2127,3538536.97,3408225.75,232813.2673,218105.5156,53034.6322,796207.048,743786.735,2318220.46,10.62889425,15.6
2023,9500.1,606,1250255.711,1223435.1,78566.0081,75108.3666,17234.8669,305626.066,292903.827,912603.086,12.15048506,16.3
2023,9500.2,183,209933,203729.4,15458.8663,14740.1662,4043.283,40417.024,37140.155,115663.4031,7.846818111,13.8
